Name,Lat,Long,Confirmed,Deaths,Mortality,,
Iraq,33.223191,43.679291,332635,12614,3,Iraq,"12,614"
Ireland,53.41291,-8.24389,33675,2126,5,Ireland,"2,126"
Israel,31.046051,34.851612,204690,3014,3,Israel,"3,014"
Italy,41.87194,12.56738,302537,65857,7,Italy,"65,857"
Jamaica,18.109581,-77.297508,5395,276,3,Jamaica,276
Japan,36.204824,138.252924,80009,2581,3,Japan,"2,581"
Jordan,30.585164,36.238414,6042,3437,3,Jordan,"3,437"
Kazakhstan,48.019573,66.923684,107529,2613,3,Kazakhstan,"2,613"
Kenya,-0.023559,37.906193,37348,1604,3,Kenya,"1,604"
Kosovo,42.602636,20.902977,12683,1220,5,Kosovo,"1,220"
Kuwait,29.31166,47.481766,101299,913,3,Kuwait,913
Kyrgyzstan,41.20438,74.766098,45630,1316,3,Kyrgyzstan,"1,316"
Laos,19.85627,102.495496,23,0,3,Laos,
Latvia,56.879635,24.603189,1572,357,3,Latvia,357
Lebanon,33.854721,35.862285,31792,1210,3,Lebanon,"1,210"
Lesotho,-29.609988,28.233608,1507,44,3,Lesotho,44
Liberia,6.428055,-9.429499,1337,83,5,Liberia,83
Libya,26.3351,17.228331,30097,1319,3,Libya,"1,319"
Liechtenstein,47.166,9.555373,116,21,3,Liechtenstein,21
Lithuania,55.169438,23.881275,3932,863,3,Lithuania,863
Luxembourg,49.815273,6.129583,8090,410,3,Luxembourg,410
Macau,22.198745,113.543873,46,0,3,Macao,
Madagascar,-18.766947,46.869107,16167,259,3,Madagascar,259
Malawi,-13.254308,34.301525,5746,187,5,Malawi,187
Malaysia,4.210484,101.975766,10505,422,3,Malaysia,422
Maldives,3.202778,73.22068,9885,48,3,Maldives,48
Mali,17.570692,-3.996166,3034,201,5,Mali,201
Malta,35.937496,14.375416,2856,177,3,Malta,177
Mauritania,21.00789,-10.940835,7425,228,3,Mauritania,228
Mauritius,-20.348404,57.552152,367,10,3,Mauritius,10
Mexico,23.634501,-102.552784,710049,114298,7,Mexico,"114,298"
Moldova,47.411631,28.369885,48232,2625,3,Moldova,"2,625"
Monaco,43.750298,7.412841,199,3,3,Monaco,3
Mongolia,46.862496,103.846656,313,0,3,Mongolia,0
Montenegro,42.708678,19.37439,9428,597,3,Montenegro,597
Morocco,31.791702,-7.09262,107743,6659,3,Morocco,"6,659"
Mozambique,-18.665695,35.529562,7262,144,3,Mozambique,144
Namibia,-22.95764,18.49041,10663,164,3,Namibia,164
Nepal,28.394857,84.124008,67804,1730,3,Nepal,"1,730"
Netherlands,52.132633,5.291266,105304,10168,5,Netherlands,"10,168"
New Zealand,-40.900557,174.885971,1827,25,3,New Zealand,25
Nicaragua,12.865416,-85.207229,5073,162,3,Nicaragua,162
Niger,17.607789,8.081666,1193,82,5,Niger,82
Nigeria,9.081999,8.675277,57724,1197,3,Nigeria,"1,197"
Norway,60.472024,8.468946,13277,395,3,Norway,395
Oman,21.512583,55.923255,95339,1475,3,Oman,"1,475"
Pakistan,30.375321,69.345116,308217,8905,3,Pakistan,"8,905"
Panama,8.537981,-80.782127,107990,3382,3,Panama,"3,382"
Papua New Guinea,-6.314993,143.95555,527,8,3,Papua New Guinea,8
Paraguay,-23.442503,-58.443832,35571,1971,3,Paraguay,"1,971"
Peru,-9.189967,-75.015152,776546,36754,5,Peru,"36,754"
Philippines,12.879721,121.774017,294591,8812,3,Philippines,"8,812"
Poland,51.919438,19.145136,81673,23309,3,Poland,"23,309"
Portugal,39.399872,-8.224454,70465,5733,3,Portugal,"5,733"
Qatar,25.354826,51.183884,124175,241,3,Qatar,241
Romania,45.943161,24.96676,116415,13698,5,Romania,"13,698"
Russia,61.52401,105.318756,1117487,47410,3,Russia,"47,410"
Rwanda,-1.940278,29.873888,4779,56,3,Rwanda,56
Saint Kitts and Nevis,17.357822,-62.782998,19,0,3,Saint Kitts and Nevis,0
Saint Lucia,13.909444,-60.978893,27,4,3,Saint Lucia,4
Saint Vincent and the Grenadines,12.984305,-61.287228,64,0,3,Saint Vincent and the Grenadines,0
San Marino,43.94236,12.457777,723,52,5,San Marino,52
Saudi Arabia,23.885942,45.079162,331359,6069,3,Saudi Arabia,"6,069"
Senegal,14.497401,-14.452362,14795,350,3,Senegal,350
Serbia,44.016521,21.005859,33080,2433,3,Serbia,"2,433"
Seychelles,-4.679574,55.491977,143,0,3,Seychelles,
Sierra Leone,8.460555,-11.779889,2183,75,5,Sierra Leone,75
Singapore,1.352083,103.819836,57639,29,3,Singapore,29
Slovakia,48.669026,19.699024,7269,1251,3,Slovakia,"1,251"
Slovenia,46.151241,14.995463,4694,2149,5,Slovenia,"2,149"
